,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Smash Burger Bowl,"Seasoned Ground Beef with a Smoky Special Burger Sauce and Caramelized Onions, Apple Cider Cabbage Slaw, and Roasted Sweet Potato Wedges","Seasoned ground beef finished with a smoky special burger sauce, served with caramelized onions, a crisp apple cider cabbage slaw, and roasted sweet potato wedges for a bold, craveable plate with a nostalgic, American finish.",Dairy (Yogurt),Gluten Free,765,53,46,7,36
Chicken,Miso Garlic Chicken,Miso Garlic Chicken Thighs with a Gochujang Miso Glaze and Charred Broccoli and Roasted Mushrooms over Jasmine Rice,"Chicken thighs marinated in miso and garlic, finished with a gochujang miso glaze, served with charred broccoli and roasted mushrooms over jasmine rice, for a rich, deeply savory bowl with a sweet heat finish.",Dairy Free,Gluten Free,680,54,25,4,61
Chicken 2,Lemon Herb Chicken with Whipped Feta,Lemon herb chicken breast with a whipped lemon garlic feta and roasted sweet potato and lacinato kale with a house pickled vegetable medley and dried cranberries,"Lemon herb chicken breast with a whipped lemon garlic feta and roasted sweet potato and lacinato kale with a house pickled vegetable medley and dried cranberries for a bright, herb forward plate with a creamy finish.",Dairy (Feta),Gluten Free,669,66,31,7,32
Beef,Balsamic Fig Short Ribs,Braised Short Ribs with a Balsamic Fig Glaze and Caramelized Pearl Onions and Roasted Wild Mushrooms over Roasted Baby Potatoes,"Tender braised short ribs finished with a sweet balsamic fig glaze, served with caramelized pearl onions and roasted wild mushrooms over roasted baby potatoes for a rich, French inspired plate with a bold, savory finish.",Dairy Free,Gluten Free,747,54,40,6,44
Seafood,Lemon Caper Salmon,Lemon caper salmon with a lemon caper dill sauce and roasted broccoli and beets over lemon herb quinoa,"Lemon caper salmon with a lemon caper dill sauce and roasted broccoli and beets over lemon herb quinoa for a bright, briny plate with a herbaceous finish.",Dairy Free,Gluten Free,648,55,33,7,32
Seafood 2,Honey Chipotle Shrimp,Honey Chipotle Shrimp with a Tahini Green Goddess Dressing and Charred Corn and Charred Broccoli over Cilantro Lime Rice,"Honey chipotle marinated shrimp seared and finished with a creamy tahini green goddess dressing, served with charred corn and charred broccoli over bright cilantro lime rice for a smoky, sweet heat plate with a fresh, herbaceous finish.",Dairy Free,Gluten Free,627,47,22,7,60
Pasta,Marry Me Chicken Pasta,Pan seared chicken breast over rigatoni in a sun dried tomato cream sauce.,"Pan seared chicken breast over rigatoni in a sun dried tomato cream sauce with garlic, Parmigiano, Italian herbs, and a hint of red pepper, for a rich, indulgent Italian American pasta with a deeply savory finish.",Dairy (Cream + Parmigiano),Gluten (Pasta),751,62,39,3,38
Veg,Thai Coconut Curry Bowl,Marinated tofu with a thai coconut curry sauce and roasted bell peppers and broccoli and shredded cabbage over jasmine rice,"Marinated tofu with a thai coconut curry sauce and roasted bell peppers and broccoli and shredded cabbage over jasmine rice for a rich, fragrant bowl with a creamy coconut finish.",Dairy Free,Gluten Free,612,39,31,10,44
Oats,Classic Overnight Oats,"Premium rolled oats in organic milk, lightly sweetened with organic maple syrup. Topped with fresh blackberries and blueberries.","Premium rolled oats steeped overnight in organic milk, lightly sweetened with organic maple syrup. Topped with fresh blackberries and blueberries.",Dairy (Milk),Gluten (Oats),440,26,11,18,49
Chia,Tiramisu Chia Pudding,Tiramisu chia pudding with a sweet tiramisu style cream topped with a light cocoa dusting,"Creamy vanilla chia pudding layered with a lightly sweet tiramisu style cream, finished with a light cocoa dusting for a rich, dessert inspired treat.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Chia 2,Chocolate Chia Pudding,Vanilla chia pudding with a chocolate mascarpone cream and fresh raspberries,"Creamy vanilla chia pudding layered with a lightly sweet chocolate mascarpone cream, finished with fresh raspberries.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Wellness Shots,Wellness Shots,"Four 2oz wellness shots: Immunity, Endurance, Purify, Clarity","Bundle of four 2oz wellness shots — Immunity, Endurance, Purify, and Clarity — cold-pressed daily and made with fresh ginger, turmeric, lemon, and seasonal botanicals.",Dairy Free,Gluten Free,,,,,
Date Balls,Date Ball Collection,A box of 5 date balls in 3 flavors,"A curated box of 5 date balls in 3 signature flavors — each bite a dense, naturally sweetened blend of dates, seeds, and seasonal spices, designed as the perfect on-the-go snack.",Dairy Free,Gluten Free,,,,,
