,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Shawarma Bowl,Shawarma Chicken Thighs with a Red and White Sauce and Roasted Tri-Color Bell Peppers and Charred Sweet Corn over Cumin Rice Pilaf,"Chicken thighs marinated in our shawarma spice blend with a red and white sauce, roasted tri-color bell peppers, and charred sweet corn over cumin rice pilaf, for a bold, smoky bowl with a bright finish.",Dairy (Yogurt),Gluten Free,729,52,34,5,53
Chicken,Miso Garlic Chicken,Miso Garlic Chicken Thighs with a Gochujang Miso Glaze and Charred Broccoli and Roasted Mushrooms over Jasmine Rice,"Chicken thighs marinated in miso and garlic, finished with a gochujang miso glaze, served with charred broccoli and roasted mushrooms over jasmine rice, for a rich, deeply savory bowl with a sweet heat finish.",Dairy Free,Gluten Free,680,54,25,4,61
Chicken 2,Mediterranean Chickpea Chicken Bowl with Green Tahini,"Pan-seared chicken breast over a dairy-free green tahini bed. Roasted chickpeas, Brussels sprouts, pickled red onions.","Pan-seared chicken breast layered over a bed of our dairy-free green tahini — a vibrant, herb-packed sauce blended with parsley, dill, mint, garlic, lemon, and EVOO. Served with roasted chickpeas, roasted Brussels sprouts, and bright pickled red onions, for a fresh, herbaceous Mediterranean bowl with a tangy finish.",Dairy Free,Gluten Free,576,65,26,9,21
Beef,Braised Short Rib,Braised Short Rib with a Red Wine Reduction and Roasted Mushrooms and Roasted Pearl Onions over Wild Rice,"Slow braised short rib finished with a rich red wine reduction, served with roasted mushrooms and roasted pearl onions over wild rice for a classic, deeply savory plate with an elegant, steakhouse inspired finish.",Dairy Free,Gluten Free,606,60,24,6,37
Seafood,Pomegranate Salmon,"Salmon marinated in pomegranate molasses, sumac, and Aleppo pepper. Saffron cauliflower rice. Roasted zucchini.","Salmon marinated in pomegranate molasses, sumac, and Aleppo pepper, then gently roasted. Served over saffron cauliflower rice with roasted zucchini. Finished with our whipped pomegranate sauce, for a bright, tart-sweet seafood plate with a complex, Middle Eastern finish.",Dairy Free,Gluten Free,689,51,44,4,22
Seafood 2,Spicy Tuna Bowl,"Crispy Albacore Tuna Cakes with a Spicy Yuzu Mayo and Pickled Cucumber, Miso Glazed Roasted Carrots, and Blistered Green Beans over Seasoned Sushi Rice","Crispy albacore tuna cakes finished with a spicy yuzu mayo, served with pickled cucumber, miso glazed roasted carrots, and blistered green beans over seasoned sushi rice for a bold, Japanese inspired bowl with a bright, umami finish.",Dairy Free,Gluten (Panko),656,43,27,5,62
Pasta,Marry Me Pasta,Pan-seared chicken breast over rigatoni in a sun-dried tomato cream sauce.,"Pan-seared chicken breast over rigatoni in a sun-dried tomato cream sauce with garlic, Parmigiano, Italian herbs, and a hint of red pepper, for a rich, indulgent Italian-American pasta with a deeply savory finish.",Dairy (Cream + Parmigiano),Gluten (Pasta),751,62,39,3,38
Veg,Chickpea Tikka Masala,Seared Tofu in a Creamy Coconut Tikka Masala with Roasted Cauliflower and Chickpeas over Basmati Rice,"Crispy seared tofu simmered in a creamy coconut tikka masala, served with roasted cauliflower and chickpeas over basmati rice for a warm, aromatic plate with a bold, comforting finish.",Dairy Free,Gluten Free,691,52,33,9,47
Oats,Classic Overnight Oats,"Premium rolled oats in organic milk, lightly sweetened with organic maple syrup. Topped with fresh blackberries and blueberries.","Premium rolled oats steeped overnight in organic milk, lightly sweetened with organic maple syrup. Topped with fresh blackberries and blueberries.",Dairy (Milk),Gluten (Oats),440,26,11,18,49
Chia,Mango Chia Pudding,A creamy mango chia pudding layered with coconut cream and topped with fresh mango.,A creamy mango chia pudding layered with coconut cream and topped with fresh mango.,Dairy (Mascarpone),Gluten Free,436,22,26,11,30
Chia 2,Tiramisu Chia Pudding,Tiramisu chia pudding with a sweet tiramisu style cream topped with a light cocoa dusting,"Creamy vanilla chia pudding layered with a lightly sweet tiramisu style cream, finished with a light cocoa dusting for a rich, dessert inspired treat.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Wellness Shots,Wellness Shots,"Four 2oz wellness shots: Immunity, Endurance, Purify, Clarity","Bundle of four 2oz wellness shots — Immunity, Endurance, Purify, and Clarity — cold-pressed daily and made with fresh ginger, turmeric, lemon, and seasonal botanicals.",Dairy Free,Gluten Free,,,,,
Date Balls,Date Ball Collection,A box of 5 date balls in 3 flavors,"A curated box of 5 date balls in 3 signature flavors — each bite a dense, naturally sweetened blend of dates, seeds, and seasonal spices, designed as the perfect on-the-go snack.",Dairy Free,Gluten Free,,,,,
