,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Shawarma Bowl,"Shawarma Chicken with a Red, White, and Green Sauce and Roasted Tri-Color Bell Peppers and Sweet Corn over Cumin Rice Pilaf","Warm spiced chicken shawarma finished with a red, white, and green sauce, served with roasted tri-color bell peppers and sweet corn over cumin rice pilaf for a bold, layered plate with a bright, creamy finish.",Dairy (Yogurt),Gluten Free,677,52,28,5,52
Chicken,Chicken Tikka,Chicken Tikka with a Mint Chutney and Saffron Roasted Cauliflower and Roasted Eggplant over Cardamom Basmati Rice,"Tender chicken tikka finished with a fresh mint chutney, served with saffron roasted cauliflower and roasted eggplant over cardamom basmati rice for a warm, aromatic plate with a bright, herbaceous finish.",Dairy (Yogurt),Gluten Free,642,57,26,7,51
Chicken 2,Ruby Marbled Whipped Feta Chicken,"Pan Seared Chicken Breast with a Ruby Beet Whipped Feta and Roasted Sweet Potato, Roasted Broccoli, House Pickled Vegetables, and Dried Cranberries","Pan seared chicken breast finished with a bright herb oil, layered over a ruby beet whipped feta with roasted sweet potato, roasted broccoli, house pickled vegetables, and dried cranberries for a striking, Mediterranean inspired plate with a clean, earthy finish.",Dairy (Feta),Gluten Free,525,52,22,7,31
Beef,Braised Short Rib,Braised Short Rib with a Red Wine Reduction and Roasted Mushrooms and Roasted Pearl Onions over Wild Rice,"Slow braised short rib finished with a rich red wine reduction, served with roasted mushrooms and roasted pearl onions over wild rice for a classic, deeply savory plate with an elegant, steakhouse inspired finish.",Dairy Free,Gluten Free,625,60,23,5,43
Seafood,Miso Glazed Cod,Pan Seared Cod with a White Miso Glaze and Roasted Broccoli and Roasted Kabocha Squash over Wild Rice,"Pan seared cod broiled with a sweet white miso glaze, served with roasted broccoli and oven roasted kabocha squash over wild rice for a clean, Japanese inspired plate with a savory, umami finish.",Dairy Free,Gluten Free,492,49,7,7,59
Seafood 2,Spicy Tuna Bowl,"Crispy Albacore Tuna Cakes with a Spicy Yuzu Mayo and Pickled Cucumber, Miso Glazed Roasted Carrots, and Blistered Green Beans over Seasoned Sushi Rice","Crispy albacore tuna cakes finished with a spicy yuzu mayo, served with pickled cucumber, miso glazed roasted carrots, and blistered green beans over seasoned sushi rice for a bold, Japanese inspired bowl with a bright, umami finish.",Dairy Free,Gluten (Panko),656,40,28,6,60
Pasta,Vodka Pasta,Blackened Chicken Breast over Luxurious Shell Pasta with a Dairy Free Vodka Cream Sauce and Fresh Basil,"Tender blackened chicken breast layered over luxurious shell pasta and finished with a silky dairy free vodka cream sauce made from San Marzano tomatoes and coconut milk, topped with fresh basil for a rich, indulgent plate with a bright, Italian American finish.",Dairy Free,Gluten (Pasta),677,56,22,5,55
Vegetarian,Korean Seared Tofu,Crispy Seared Tofu with a Gochujang Glaze and Charred Broccoli and Roasted Cremini Mushrooms over Basmati Rice,"Extra firm tofu seared crispy and finished with a sweet spicy gochujang glaze, served with charred broccoli and roasted cremini mushrooms over basmati rice for a bold, Korean inspired plate with a fiery, umami finish.",Dairy Free,Gluten Free,677,52,22,9,71
Broth,Lemongrass Coconut Bone Broth,Our high protein and collagen rich lemongrass and coconut milk bone broth slow simmered for 24 hours,"Our signature lemongrass and coconut milk bone broth slow simmered for 24 hours with fresh lemongrass, ginger, and lime leaf.",Dairy Free,Gluten Free,391,31,26,,7
Chia,Strawberry Chia Pudding,Strawberry chia pudding with a vanilla mascarpone cream and fresh strawberries,"Creamy strawberry chia pudding layered with a vanilla mascarpone cream and finished with fresh strawberries for a bright, dessert inspired treat.",Dairy (Mascarpone),Gluten Free,377,24,15,13,35
